time(ms)	lx (deg)	ly (deg)	lpupdiameter (mm)	rx (deg)	ry (deg)	rpupdiameter (mm)
0.000	0.258	0.084	4.452	-0.321	-0.073	5.039
2.000	0.228	0.069	4.449	-0.317	-0.086	5.049
4.000	0.260	0.072	4.445	-0.303	-0.081	5.044
6.000	0.218	0.068	4.445	-0.279	-0.073	5.042
8.000	0.220	0.076	4.449	-0.297	-0.069	5.047
10.000	0.218	0.071	4.443	-0.299	-0.072	5.049
12.000	0.232	0.082	4.446	-0.264	-0.074	5.054
14.000	0.258	0.076	4.446	-0.250	-0.067	5.051
16.000	0.210	0.060	4.442	-0.281	-0.091	5.051
18.000	0.236	0.072	4.445	-0.275	-0.071	5.052
20.000	0.228	0.081	4.445	-0.258	-0.074	5.054
22.000	0.242	0.081	4.454	-0.244	-0.092	5.071
24.000	0.218	0.086	4.445	-0.256	-0.053	5.058
26.000	0.228	0.074	4.445	-0.293	-0.058	5.058
28.000	0.214	0.074	4.446	-0.281	-0.059	5.073
30.000	0.250	0.079	4.439	-0.232	-0.049	5.055
32.000	0.216	0.079	4.448	-0.240	-0.048	5.070
34.000	0.222	0.081	4.442	-0.264	-0.049	5.065
36.000	0.228	0.060	4.446	-0.256	-0.042	5.067
38.000	0.198	0.057	4.434	-0.248	-0.049	5.064
40.000	0.236	0.071	4.436	-0.250	-0.059	5.065
42.000	0.202	0.078	4.439	-0.262	-0.057	5.062
44.000	0.216	0.083	4.437	-0.250	-0.058	5.062
46.000	0.222	0.062	4.442	-0.258	-0.054	5.070
48.000	0.244	0.077	4.446	-0.238	-0.044	5.070
50.000	0.238	0.064	4.439	-0.210	-0.044	5.067
52.000	0.222	0.091	4.436	-0.244	-0.053	5.075
54.000	0.224	0.084	4.440	-0.264	-0.039	5.067
56.000	0.226	0.073	4.439	-0.238	-0.037	5.077
58.000	0.208	0.082	4.440	-0.250	-0.031	5.073
60.000	0.234	0.067	4.443	-0.222	-0.026	5.081
62.000	0.238	0.087	4.437	-0.218	-0.034	5.083
64.000	0.224	0.074	4.439	-0.256	-0.049	5.077
66.000	0.206	0.083	4.437	-0.226	-0.040	5.086
68.000	0.214	0.079	4.439	-0.244	-0.058	5.077
70.000	0.196	0.084	4.436	-0.226	-0.040	5.074
72.000	0.214	0.073	4.442	-0.260	-0.023	5.073
74.000	0.202	0.074	4.436	-0.232	-0.028	5.077
76.000	0.186	0.088	4.443	-0.234	-0.028	5.077
78.000	0.210	0.092	4.436	-0.242	-0.030	5.080
80.000	0.218	0.086	4.434	-0.218	-0.033	5.081
82.000	0.194	0.060	4.436	-0.234	-0.038	5.074
84.000	0.202	0.078	4.434	-0.248	-0.040	5.078
86.000	0.216	0.092	4.431	-0.226	-0.037	5.078
88.000	0.166	0.092	4.437	-0.244	-0.014	5.087
90.000	0.204	0.071	4.440	-0.226	-0.025	5.090
92.000	0.210	0.100	4.446	-0.238	-0.025	5.081
94.000	0.214	0.081	4.431	-0.232	-0.045	5.080
96.000	0.204	0.079	4.431	-0.234	-0.005	5.077
98.000	0.194	0.086	4.436	-0.264	-0.023	5.086
100.000	0.246	0.081	4.437	-0.238	-0.043	5.081
102.000	0.212	0.067	4.431	-0.252	-0.039	5.088
104.000	0.210	0.081	4.440	-0.250	-0.029	5.093
106.000	0.204	0.082	4.428	-0.208	-0.031	5.081
108.000	0.238	0.110	4.434	-0.222	-0.033	5.088
110.000	0.218	0.102	4.434	-0.180	-0.025	5.093
112.000	0.224	0.096	4.431	-0.216	-0.018	5.088
114.000	0.210	0.098	4.437	-0.226	-0.019	5.090
116.000	0.238	0.101	4.437	-0.270	-0.016	5.081
118.000	0.228	0.118	4.436	-0.236	-0.026	5.088
120.000	0.236	0.105	4.442	-0.275	-0.015	5.081
122.000	0.226	0.120	4.442	-0.228	-0.026	5.091
124.000	0.238	0.122	4.434	-0.266	-0.024	5.086
126.000	0.242	0.108	4.440	-0.260	-0.020	5.096
128.000	0.220	0.100	4.436	-0.230	-0.029	5.088
130.000	0.208	0.111	4.436	-0.254	-0.013	5.087
132.000	0.232	0.127	4.442	-0.246	-0.019	5.087
134.000	0.228	0.110	4.439	-0.234	-0.033	5.091
136.000	0.198	0.101	4.437	-0.230	-0.042	5.090
138.000	0.214	0.113	4.440	-0.234	-0.019	5.093
140.000	0.206	0.093	4.433	-0.256	-0.043	5.081
142.000	0.222	0.103	4.440	-0.264	-0.030	5.093
144.000	0.234	0.115	4.436	-0.272	-0.024	5.083
146.000	0.216	0.087	4.436	-0.285	-0.035	5.080
148.000	0.232	0.113	4.436	-0.250	-0.057	5.087
150.000	0.230	0.110	4.439	-0.258	-0.069	5.093
152.000	0.222	0.087	4.436	-0.222	-0.064	5.091
154.000	0.216	0.125	4.436	-0.272	-0.020	5.077
156.000	0.230	0.115	4.440	-0.270	-0.054	5.087
158.000	0.222	0.101	4.437	-0.289	-0.039	5.087
160.000	0.214	0.107	4.436	-0.295	-0.054	5.090
162.000	0.214	0.103	4.436	-0.260	-0.053	5.087
164.000	0.230	0.110	4.436	-0.232	-0.037	5.090
166.000	0.198	0.098	4.439	-0.281	-0.054	5.088
168.000	0.188	0.125	4.443	-0.250	-0.023	5.087
170.000	0.206	0.107	4.437	-0.236	-0.045	5.090
172.000	0.210	0.105	4.434	-0.283	-0.040	5.078
174.000	0.210	0.110	4.445	-0.277	-0.081	5.094
176.000	0.256	0.123	4.446	-0.272	-0.059	5.090
178.000	0.230	0.101	4.437	-0.264	-0.058	5.087
180.000	0.226	0.101	4.437	-0.260	-0.059	5.083
182.000	0.246	0.103	4.440	-0.287	-0.071	5.087
184.000	0.224	0.103	4.445	-0.295	-0.057	5.086
186.000	0.236	0.116	4.448	-0.275	-0.071	5.088
188.000	0.242	0.118	4.440	-0.287	-0.055	5.093
190.000	0.194	0.101	4.445	-0.266	-0.074	5.094
