time(ms)	lx (deg)	ly (deg)	lpupdiameter (mm)	rx (deg)	ry (deg)	rpupdiameter (mm)
0.000	-0.749	-0.169	4.502	-0.465	-0.678	4.148
2.000	-0.785	-0.174	4.499	-0.415	-0.694	4.148
4.000	-0.745	-0.130	4.496	-0.435	-0.680	4.144
6.000	-0.703	-0.094	4.495	-0.415	-0.680	4.144
8.000	-0.787	-0.126	4.499	-0.407	-0.693	4.139
10.000	-0.761	-0.152	4.498	-0.389	-0.668	4.139
12.000	-0.711	-0.135	4.498	-0.431	-0.678	4.142
14.000	-0.761	-0.145	4.507	-0.395	-0.692	4.148
16.000	-0.743	-0.181	4.508	-0.423	-0.684	4.142
18.000	-0.771	-0.139	4.508	-0.445	-0.683	4.155
20.000	-0.683	-0.149	4.507	-0.443	-0.723	4.149
22.000	-0.743	-0.121	4.502	-0.435	-0.664	4.153
24.000	-0.725	-0.162	4.505	-0.417	-0.692	4.144
26.000	-0.757	-0.141	4.499	-0.425	-0.673	4.146
28.000	-0.765	-0.159	4.504	-0.419	-0.689	4.149
30.000	-0.803	-0.117	4.511	-0.431	-0.692	4.149
32.000	-0.759	-0.136	4.517	-0.409	-0.712	4.155
34.000	-0.673	-0.123	4.504	-0.399	-0.737	4.151
36.000	-0.759	-0.165	4.516	-0.431	-0.697	4.151
38.000	-0.747	-0.130	4.505	-0.383	-0.684	4.148
40.000	-0.769	-0.128	4.505	-0.433	-0.676	4.148
42.000	-0.799	-0.142	4.508	-0.425	-0.694	4.158
44.000	-0.791	-0.141	4.520	-0.415	-0.693	4.158
46.000	-0.749	-0.137	4.511	-0.373	-0.692	4.153
48.000	-0.757	-0.123	4.521	-0.427	-0.710	4.153
50.000	-0.777	-0.122	4.511	-0.421	-0.689	4.153
52.000	-0.767	-0.134	4.516	-0.393	-0.713	4.155
54.000	-0.757	-0.132	4.521	-0.451	-0.718	4.158
56.000	-0.805	-0.165	4.517	-0.369	-0.728	4.153
58.000	-0.737	-0.164	4.514	-0.393	-0.684	4.151
60.000	-0.733	-0.146	4.517	-0.445	-0.704	4.155
62.000	-0.743	-0.150	4.520	-0.353	-0.695	4.156
64.000	-0.771	-0.135	4.520	-0.401	-0.679	4.149
66.000	-0.755	-0.180	4.518	-0.385	-0.681	4.155
68.000	-0.745	-0.160	4.527	-0.401	-0.705	4.160
70.000	-0.741	-0.161	4.529	-0.399	-0.705	4.151
72.000	-0.753	-0.165	4.510	-0.421	-0.690	4.149
74.000	-0.719	-0.145	4.518	-0.397	-0.712	4.155
