time(ms)	lx (deg)	ly (deg)	lpupdiameter (mm)	rx (deg)	ry (deg)	rpupdiameter (mm)
0.000	-0.407	0.081	2.807	-0.102	-0.009	2.610
2.000	-0.363	0.094	2.814	-0.106	-0.015	2.627
4.000	-0.359	0.089	2.804	-0.140	-0.034	2.619
6.000	-0.373	0.069	2.807	-0.130	-0.020	2.630
8.000	-0.365	0.079	2.809	-0.144	-0.029	2.622
10.000	-0.377	0.073	2.807	-0.126	-0.016	2.616
12.000	-0.411	0.074	2.814	-0.146	-0.008	2.619
14.000	-0.379	0.083	2.804	-0.164	-0.003	2.624
16.000	-0.385	0.106	2.811	-0.136	-0.008	2.622
18.000	-0.373	0.076	2.811	-0.158	-0.016	2.622
20.000	-0.417	0.091	2.816	-0.176	-0.026	2.627
22.000	-0.359	0.086	2.809	-0.184	-0.015	2.624
24.000	-0.357	0.088	2.804	-0.188	-0.021	2.624
26.000	-0.399	0.093	2.811	-0.164	-0.009	2.608
28.000	-0.353	0.093	2.814	-0.184	-0.019	2.622
30.000	-0.389	0.089	2.814	-0.196	0.003	2.613
32.000	-0.421	0.106	2.821	-0.182	-0.003	2.616
34.000	-0.397	0.091	2.811	-0.168	-0.009	2.613
36.000	-0.405	0.094	2.826	-0.208	-0.013	2.613
38.000	-0.373	0.084	2.816	-0.208	0.003	2.602
40.000	-0.347	0.089	2.800	-0.204	-0.004	2.613
42.000	-0.365	0.073	2.819	-0.234	-0.004	2.613
44.000	-0.403	0.074	2.816	-0.178	0.006	2.619
46.000	-0.391	0.105	2.811	-0.222	0.006	2.616
48.000	-0.353	0.092	2.809	-0.224	0.006	2.610
50.000	-0.381	0.102	2.802	-0.236	0.006	2.613
52.000	-0.399	0.084	2.821	-0.220	0.019	2.622
54.000	-0.367	0.083	2.816	-0.218	0.000	2.619
56.000	-0.413	0.077	2.819	-0.194	0.018	2.616
58.000	-0.385	0.100	2.821	-0.194	0.026	2.616
60.000	-0.361	0.081	2.819	-0.220	0.003	2.627
62.000	-0.357	0.079	2.828	-0.210	0.030	2.619
64.000	-0.369	0.087	2.826	-0.204	0.013	2.622
66.000	-0.415	0.105	2.826	-0.222	0.014	2.627
68.000	-0.353	0.100	2.828	-0.208	0.008	2.613
70.000	-0.395	0.097	2.823	-0.196	0.018	2.630
72.000	-0.397	0.097	2.823	-0.198	0.018	2.627
74.000	-0.383	0.101	2.828	-0.188	0.023	2.622
76.000	-0.369	0.093	2.830	-0.220	0.016	2.627
78.000	-0.383	0.113	2.830	-0.220	0.040	2.624
80.000	-0.373	0.103	2.819	-0.182	0.039	2.624
82.000	-0.403	0.100	2.826	-0.176	0.029	2.624
84.000	-0.361	0.083	2.828	-0.192	0.030	2.627
86.000	-0.365	0.094	2.816	-0.206	0.000	2.633
