time(ms)	lx (deg)	ly (deg)	lpupdiameter (mm)	rx (deg)	ry (deg)	rpupdiameter (mm)
0.000	-0.158	0.039	5.292	-0.022	-0.291	5.583
2.000	-0.150	0.064	5.291	-0.036	-0.287	5.584
4.000	-0.178	0.048	5.293	-0.072	-0.262	5.592
6.000	-0.188	0.059	5.291	-0.058	-0.263	5.591
8.000	-0.190	0.037	5.291	-0.074	-0.237	5.585
10.000	-0.196	0.048	5.294	-0.044	-0.238	5.583
12.000	-0.170	0.053	5.298	-0.036	-0.225	5.587
14.000	-0.170	0.039	5.293	-0.052	-0.254	5.581
16.000	-0.146	0.015	5.301	-0.084	-0.228	5.581
18.000	-0.158	0.029	5.299	-0.056	-0.244	5.580
20.000	-0.190	0.035	5.291	-0.068	-0.241	5.588
22.000	-0.136	0.062	5.296	-0.062	-0.232	5.580
24.000	-0.176	0.073	5.293	-0.072	-0.230	5.581
26.000	-0.228	0.054	5.301	-0.050	-0.252	5.588
28.000	-0.222	0.045	5.297	-0.104	-0.244	5.579
30.000	-0.208	0.068	5.297	-0.066	-0.234	5.587
32.000	-0.164	0.044	5.296	-0.046	-0.261	5.585
34.000	-0.180	0.060	5.298	-0.088	-0.236	5.578
36.000	-0.148	0.059	5.292	-0.084	-0.237	5.578
38.000	-0.172	0.050	5.293	-0.146	-0.244	5.575
40.000	-0.180	0.043	5.296	-0.074	-0.259	5.580
42.000	-0.148	0.081	5.296	-0.130	-0.246	5.572
44.000	-0.182	0.052	5.288	-0.154	-0.241	5.570
46.000	-0.158	0.078	5.288	-0.134	-0.242	5.568
48.000	-0.160	0.076	5.293	-0.144	-0.263	5.570
50.000	-0.196	0.078	5.297	-0.120	-0.234	5.583
52.000	-0.216	0.069	5.289	-0.108	-0.244	5.571
54.000	-0.170	0.076	5.292	-0.136	-0.223	5.580
56.000	-0.164	0.060	5.296	-0.154	-0.238	5.566
58.000	-0.144	0.088	5.289	-0.146	-0.223	5.567
60.000	-0.158	0.068	5.298	-0.164	-0.229	5.560
62.000	-0.178	0.081	5.292	-0.166	-0.215	5.562
64.000	-0.168	0.088	5.288	-0.176	-0.238	5.568
66.000	-0.162	0.083	5.288	-0.140	-0.239	5.574
68.000	-0.152	0.088	5.293	-0.164	-0.234	5.564
70.000	-0.228	0.077	5.303	-0.116	-0.234	5.571
72.000	-0.192	0.079	5.298	-0.168	-0.220	5.570
74.000	-0.160	0.077	5.283	-0.178	-0.232	5.563
76.000	-0.170	0.089	5.293	-0.148	-0.212	5.572
78.000	-0.214	0.089	5.296	-0.162	-0.198	5.570
80.000	-0.160	0.077	5.296	-0.176	-0.219	5.567
82.000	-0.172	0.078	5.287	-0.164	-0.233	5.564
84.000	-0.190	0.093	5.298	-0.150	-0.227	5.570
86.000	-0.180	0.101	5.288	-0.180	-0.220	5.556
88.000	-0.244	0.059	5.294	-0.150	-0.233	5.568
90.000	-0.210	0.098	5.288	-0.184	-0.203	5.556
92.000	-0.206	0.081	5.294	-0.172	-0.238	5.564
94.000	-0.210	0.089	5.292	-0.174	-0.230	5.568
