time(ms)	lx (deg)	ly (deg)	lpupdiameter (mm)	rx (deg)	ry (deg)	rpupdiameter (mm)
0.000	-0.277	-0.440	5.219	0.449	-0.154	4.831
2.000	-0.319	-0.427	5.220	0.443	-0.173	4.851
4.000	-0.327	-0.438	5.217	0.437	-0.180	4.848
6.000	-0.315	-0.431	5.219	0.427	-0.154	4.845
8.000	-0.287	-0.428	5.224	0.451	-0.169	4.845
10.000	-0.333	-0.437	5.215	0.443	-0.152	4.847
12.000	-0.311	-0.460	5.205	0.433	-0.170	4.845
14.000	-0.327	-0.448	5.219	0.433	-0.165	4.850
16.000	-0.347	-0.443	5.221	0.429	-0.150	4.860
18.000	-0.275	-0.462	5.231	0.433	-0.174	4.856
20.000	-0.293	-0.436	5.224	0.461	-0.168	4.856
22.000	-0.289	-0.440	5.230	0.435	-0.170	4.853
24.000	-0.291	-0.470	5.229	0.439	-0.150	4.869
26.000	-0.299	-0.470	5.230	0.427	-0.139	4.865
28.000	-0.289	-0.456	5.220	0.407	-0.140	4.845
30.000	-0.291	-0.457	5.230	0.447	-0.141	4.871
32.000	-0.295	-0.448	5.229	0.443	-0.150	4.862
34.000	-0.311	-0.440	5.230	0.439	-0.152	4.865
36.000	-0.289	-0.451	5.225	0.437	-0.132	4.859
38.000	-0.325	-0.448	5.217	0.447	-0.121	4.868
40.000	-0.305	-0.441	5.219	0.457	-0.112	4.854
42.000	-0.281	-0.441	5.230	0.465	-0.139	4.877
44.000	-0.361	-0.477	5.231	0.461	-0.150	4.854
46.000	-0.311	-0.456	5.243	0.489	-0.151	4.872
48.000	-0.277	-0.453	5.229	0.449	-0.154	4.860
50.000	-0.313	-0.442	5.230	0.423	-0.137	4.863
52.000	-0.285	-0.443	5.240	0.439	-0.135	4.862
54.000	-0.268	-0.446	5.228	0.459	-0.144	4.857
56.000	-0.279	-0.430	5.239	0.441	-0.146	4.875
58.000	-0.272	-0.460	5.235	0.465	-0.128	4.862
60.000	-0.287	-0.458	5.229	0.459	-0.118	4.860
62.000	-0.287	-0.441	5.241	0.427	-0.117	4.884
64.000	-0.305	-0.455	5.247	0.447	-0.097	4.892
66.000	-0.270	-0.445	5.223	0.427	-0.094	4.863
68.000	-0.266	-0.453	5.240	0.409	-0.081	4.881
70.000	-0.277	-0.435	5.240	0.415	-0.086	4.875
72.000	-0.299	-0.447	5.238	0.439	-0.125	4.887
74.000	-0.303	-0.461	5.236	0.445	-0.116	4.878
76.000	-0.244	-0.455	5.239	0.437	-0.096	4.869
78.000	-0.289	-0.399	5.239	0.417	-0.101	4.877
80.000	-0.285	-0.453	5.244	0.401	-0.087	4.871
82.000	-0.287	-0.421	5.244	0.391	-0.094	4.877
84.000	-0.283	-0.430	5.248	0.407	-0.093	4.892
86.000	-0.246	-0.470	5.241	0.415	-0.101	4.884
88.000	-0.254	-0.437	5.238	0.411	-0.101	4.883
90.000	-0.279	-0.438	5.245	0.379	-0.100	4.880
92.000	-0.315	-0.430	5.233	0.399	-0.103	4.877
94.000	-0.262	-0.452	5.238	0.405	-0.094	4.881
96.000	-0.240	-0.440	5.239	0.413	-0.107	4.875
